current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,execute_phase,internal_references_impacted
support-agreement,support-agreement,/pages/support-agreement,/pages/support-agreement,NO,NO,Supportavtal,SKIP,
training,training,/pages/training,/pages/training,NO,NO,Utbildning,SKIP,
partner-program,partner-program,/pages/partner-program,/pages/partner-program,NO,NO,Partnerprogram,SKIP,
industry-energy-infrastructure,industry-energy-infrastructure,/pages/industry-energy-infrastructure,/pages/industry-energy-infrastructure,NO,NO,Energi & Infrastruktur,SKIP,
industry-wind-power,industry-wind-power,/pages/industry-wind-power,/pages/industry-wind-power,NO,NO,Vindkraft,SKIP,
industry-solar-parks,industry-solar-parks,/pages/industry-solar-parks,/pages/industry-solar-parks,NO,NO,Solparker,SKIP,
industry-power-grid,industry-power-grid,/pages/industry-power-grid,/pages/industry-power-grid,NO,NO,Kraftnät,SKIP,
industry-forestry,industry-forestry,/pages/industry-forestry,/pages/industry-forestry,NO,NO,Skogsbruk,SKIP,
industry-agriculture,industry-agriculture,/pages/industry-agriculture,/pages/industry-agriculture,NO,NO,Jordbruk,SKIP,
industry-mapping,industry-mapping,/pages/industry-mapping,/pages/industry-mapping,NO,NO,Kartläggning,SKIP,
industry-construction,industry-construction,/pages/industry-construction,/pages/industry-construction,NO,NO,Bygg & Anläggning,SKIP,
industry-security-rescue,industry-security-rescue,/pages/industry-security-rescue,/pages/industry-security-rescue,NO,NO,Säkerhet & Räddning,SKIP,
industry-transport-logistics,industry-transport-logistics,/pages/industry-transport-logistics,/pages/industry-transport-logistics,NO,NO,Transport & Logistik,SKIP,
current_handle,proposed_handle,taxonomy_pillar,action,swedish_detected,current_url,proposed_url,title
contact,contact-us,Support,RENAME,YES,/pages/contact,/pages/contact-us,Kontakta oss
actionking-student,(exclude),Support,EXCLUDE,LEGACY,/pages/actionking-student,(exclude),"ActionKing söker drivna studenter – SEO, Webbutveckling, Content & Marknadsföring"
360-camera,360-camera,Support,KEEP,NO,/pages/360-camera,/pages/360-camera,360-kamera - stort utbud av kameror och tillbehör online
vara-varumarken,brands,Brands,RENAME,YES,/pages/vara-varumarken,/pages/brands,Våra Varumärken
dji-neo,dji-neo,Drones,KEEP,NO,/pages/dji-neo,/pages/dji-neo,DJI Neo
filter-action-king,(exclude),Support,EXCLUDE,LEGACY,/pages/filter-action-king,(exclude),Filter
faq,faq,Support,KEEP,NO,/pages/faq,/pages/faq,Välkommen till ActionKings FAQ!
dji-osmo,dji-osmo,Accessories,KEEP,NO,/pages/dji-osmo,/pages/dji-osmo,DJI Osmo-kameror och tillbehör för film och äventyr
dji-accessories,dji-accessories,Accessories,KEEP,NO,/pages/dji-accessories,/pages/dji-accessories,DJI-tillbehör för drönare - stort utbud för alla modeller
gopro-faste,gopro-mount,Accessories,RENAME,YES,/pages/gopro-faste,/pages/gopro-mount,GoPro-fäste för actionkamera - flexibla och säkra monteringslösningar
home-preparedness-equipment,home-preparedness-equipment,Support,KEEP,NO,/pages/home-preparedness-equipment,/pages/home-preparedness-equipment,"Hemberedskap: Utrustning för kris, elavbrott och vardagssäkerhet"
camera-tripod,camera-tripod,Accessories,KEEP,NO,/pages/camera-tripod,/pages/camera-tripod,Kamerastativ för actionkameror och drönare - stort utbud online
waterproof-flashlight,waterproof-flashlight,Support,KEEP,NO,/pages/waterproof-flashlight,/pages/waterproof-flashlight,Vattentät ficklampa för friluftsliv och äventyr - stort utbud online
retur-reklamation,retur-claims,Support,RENAME,YES,/pages/retur-reklamation,/pages/retur-claims,Retur & Reklamation
rekalamtioner-aterkop,claims-buyback,Support,RENAME,YES,/pages/rekalamtioner-aterkop,/pages/claims-buyback,Reklamationer & Återköp
gimbal-and-stabilisering,gimbal-and-stabilization,Accessories,RENAME,YES,/pages/gimbal-and-stabilisering,/pages/gimbal-and-stabilization,"Gimbal och stabilisering för mobil, kamera och actionkamera"
drone-accessories-dji-m3pro,drone-accessories-dji-m3pro,Accessories,KEEP,NO,/pages/drone-accessories-dji-m3pro,/pages/drone-accessories-dji-m3pro,Drönartillbehör för DJI Mavic 3 Pro – Höj din flygning!
drones-action-king,(exclude),Support,EXCLUDE,LEGACY,/pages/drones-action-king,(exclude),Drönare
protection,protection,Accessories,KEEP,NO,/pages/protection,/pages/protection,Skydd
dji-avata-series,dji-avata-series,Drones,KEEP,NO,/pages/dji-avata-series,/pages/dji-avata-series,DJI Avata-serien
dji-mini-series,dji-mini-series,Drones,KEEP,NO,/pages/dji-mini-series,/pages/dji-mini-series,DJI Mini-serien
dji-mavic-series,dji-mavic-series,Drones,KEEP,NO,/pages/dji-mavic-series,/pages/dji-mavic-series,DJI Mavic-serien
dji-drones,dji-drones,Drones,KEEP,NO,/pages/dji-drones,/pages/dji-drones,DJI-Drönare
hoverair-drones,hoverair-drones,Drones,KEEP,NO,/pages/hoverair-drones,/pages/hoverair-drones,HoverAir-Drönare
hoverair-drone-accessories,hoverair-drone-accessories,Drones,KEEP,NO,/pages/hoverair-drone-accessories,/pages/hoverair-drone-accessories,HoverAir-Drönartillbehör
dji-mavic-3-series,dji-mavic-3-series,Drones,KEEP,NO,/pages/dji-mavic-3-series,/pages/dji-mavic-3-series,DJI Mavic 3-serien
tripod,tripod,Accessories,KEEP,NO,/pages/tripod,/pages/tripod,Stativ
spare-parts,spare-parts,Support,KEEP,NO,/pages/spare-parts,/pages/spare-parts,Reservdelar till actionkameror
kopvillkor,terms-of-sale,Support,RENAME,YES,/pages/kopvillkor,/pages/terms-of-sale,Köpvillkor
om-actionking-se,(exclude),Support,EXCLUDE,LEGACY,/pages/om-actionking-se,(exclude),Om ActionKing
gopro-accessories-and-spare-parts,gopro-accessories-and-spare-parts,Accessories,KEEP,NO,/pages/gopro-accessories-and-spare-parts,/pages/gopro-accessories-and-spare-parts,GoPro Tillbehör och reservdelar allt till din kamera.
accessories-for-dji-drones,accessories-for-dji-drones,Drones,KEEP,NO,/pages/accessories-for-dji-drones,/pages/accessories-for-dji-drones,Tillbehör till DJI-Drönare
chargers-dji-batteries,chargers-dji-batteries,Support,KEEP,NO,/pages/chargers-dji-batteries,/pages/chargers-dji-batteries,Laddare för DJI batterier
vilken-bilkamera-ar-bast,which-dash-cam-is-best,Support,RENAME,YES,/pages/vilken-bilkamera-ar-bast,/pages/which-dash-cam-is-best,Vilken bilkamera är bäst?
