proposed_handle,taxonomy_pillar,products_count,merged_from_count,merged_from,proposed_url
accessories-dji-air-3s,Accessories,13,0,,/collections/accessories-dji-air-3s
enterprise-lighting,Accessories,13,0,,/collections/enterprise-lighting
accessories-dji-air-series,Accessories,12,0,,/collections/accessories-dji-air-series
dji-mavic-3-pro-accessories,Accessories,11,0,,/collections/dji-mavic-3-pro-accessories
accessories-dji-mavic-3-cine,Accessories,10,0,,/collections/accessories-dji-mavic-3-cine
accessory-cables-drones,Accessories,10,0,,/collections/accessory-cables-drones
dji-matrice-30-series-accessories,Accessories,9,0,,/collections/dji-matrice-30-series-accessories
dji-mavic-accessories,Accessories,9,0,,/collections/dji-mavic-accessories
dji-matrice-350-rtk-accessories,Accessories,8,0,,/collections/dji-matrice-350-rtk-accessories
dji-mini-accessories,Accessories,7,0,,/collections/dji-mini-accessories
dji-avata-accessories,Accessories,6,0,,/collections/dji-avata-accessories
dji-mavic-3m-drones-accessories,Accessories,5,0,,/collections/dji-mavic-3m-drones-accessories
dji-mavic-pro-battery-bag,Accessories,5,0,,/collections/dji-mavic-pro-battery-bag
dji-rc-pro-accessories,Accessories,5,0,,/collections/dji-rc-pro-accessories
accessories-dji-mavic-2,Accessories,4,0,,/collections/accessories-dji-mavic-2
inspection-drones,Accessories,4,0,,/collections/inspection-drones
agriculture-drones,Accessories,4,0,,/collections/agriculture-drones
accessories-dji-mini-4-series,Accessories,3,0,,/collections/accessories-dji-mini-4-series
dji-air-2-accessories,Accessories,3,0,,/collections/dji-air-2-accessories
dji-flip-battery-accessories,Accessories,3,0,,/collections/dji-flip-battery-accessories
accessories-dji-mavic-drones,Accessories,2,0,,/collections/accessories-dji-mavic-drones
dji-fpv-accessories,Accessories,1,0,,/collections/dji-fpv-accessories
forestry-drones,Accessories,1,0,,/collections/forestry-drones
accessories-dji-inspire,Accessories,0,0,,/collections/accessories-dji-inspire
dji-air-2s-accessories,Accessories,0,0,,/collections/dji-air-2s-accessories
dji-phantom-accessories-bag-spare-parts,Accessories,0,0,,/collections/dji-phantom-accessories-bag-spare-parts
